01-01-2020,02-01-2020,03-01-2020,04-01-2020,05-01-2020,06-01-2020,07-01-2020,08-01-2020,09-01-2020,10-01-2020,11-01-2020,12-01-2020,13-01-2020,14-01-2020,15-01-2020,16-01-2020,17-01-2020,18-01-2020,19-01-2020,20-01-2020,21-01-2020,22-01-2020,23-01-2020,24-01-2020,25-01-2020,26-01-2020,27-01-2020,28-01-2020,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020
,4526,4503,4223,4474,4429,4027,3307,4276,4206,4007,3909,6286,245,64,4008,245,4029,4011,1923,3918,4048,3502,4086,3910,245,4112,3009,304,3867,2954,375,546,3762,3303,2291,2154,3385,3303,2234,825,3497,223,6282,3497,3564,3668,2234,3238,2354,3231,1895,2683,3041,6249,2953,2354,2711,294,1981,2564,1981,23,26,2564,2565,2512,226,17,28,17,23,1899,1978,17,294,11,226,19,292,440,292,633,821,967,1104,1106,1393,1110,1646,1784
,4527,4512,6287,4430,4430,230,297,4203,4207,4095,3910,6289,6290,6289,309,4019,3917,2255,3918,3999,3910,3910,310,3743,6290,4113,304,3392,2769,3837,304,3444,3763,3385,3385,2236,223,3386,2955,3497,3386,3564,2234,3610,3610,2234,3238,2860,2683,3232,1396,3093,23,23,2915,2911,293,825,2062,2714,2684,25,2065,26,2566,2513,546,2411,371,2291,979,19,1979,18,19,12,24,295,294,292,18,634,822,968,822,972,972,1394,1394,1106
,2975,3054,2975,448,448,4388,4208,4204,4208,4151,237,3957,3450,245,237,3450,3999,4034,2012,1575,237,237,4087,237,3719,4114,655,2769,3841,3838,1548,1904,3715,2685,546,40,3386,3444,3367,26,3537,2954,373,26,3637,2860,3682,2065,16,3233,2290,293,25,640,2954,2683,294,2651,225,373,2685,2564,6250,2607,2295,2514,2472,294,1903,2292,1903,1900,18,19,2061,13,25,224,19,293,19,635,823,969,970,1110,1394,1529,1647,1393
,4515,3450,3573,4475,4431,4211,4027,4277,4067,3307,3911,3958,3914,3957,64,3914,2012,6287,1575,3416,4049,310,3401,3401,1923,4115,2769,3876,1548,2236,309,3715,2234,223,3444,304,3387,3367,2236,3444,3389,2955,2860,3471,3638,2065,2860,3099,3159,825,3159,3041,2858,25,2357,2912,825,223,640,2715,2294,2357,230,373,2516,2515,2473,19,2356,294,2232,226,1980,2060,21,14,28,225,367,441,367,18,293,970,1105,1265,1265,1530,18,1528
,2697,3719,3424,4476,4432,4389,4351,4278,2234,4152,3912,6290,87,3054,4009,3959,3880,3928,3416,6287,64,64,4088,4088,3918,4116,1548,1548,309,,3401,2954,373,3737,3389,1669,546,3445,3391,3498,2915,373,2236,3389,3639,36,3683,1543,2291,3234,3160,2294,6282,6282,2955,292,2651,6249,2764,2716,2062,373,2236,6250,2567,2234,299,2294,2357,19,297,23,19,2061,6249,15,227,25,22,18,22,19,18,971,1106,439,1395,292,294,1785
,4528,1165,2697,4477,3998,4028,230,4279,4027,4153,6286,3450,3962,6290,6286,1165,3480,3931,3921,2975,312,6286,6289,6289,1575,3719,309,309,3868,3839,64,373,2916,3471,3714,3395,3388,3099,40,2915,2860,2860,40,1904,2915,2236,2065,3009,3303,3235,3161,223,3042,2564,2065,2913,2857,225,25,1543,640,2652,40,230,35,2516,2065,225,1122,2293,2233,640,1981,2062,2151,16,228,296,368,19,295,367,294,972,1107,634,1396,18,636,1786
,4529,4073,2380,237,237,237,38,4280,4209,2234,6289,3914,3880,3450,6289,2728,3416,4035,4041,6307,6286,6289,245,245,3416,3815,237,310,6286,3840,3794,3790,3764,3389,3715,1548,3389,2236,304,2955,3538,3565,1909,2607,373,1543,2236,2768,825,23,224,6249,3043,3006,2767,294,2062,2805,2765,2717,25,2154,2632,1543,837,6250,6250,2412,34,2294,2234,28,6249,23,640,17,31,28,25,20,442,636,19,973,972,17,18,19,442,972
,4530,4484,153,4478,2359,4286,4211,297,230,373,245,3959,3416,251,4010,3880,3770,3522,3924,4045,6289,245,4089,4096,3983,6302,4124,3877,245,304,245,2236,3765,2234,2955,238,3390,3391,3473,3099,3539,40,3393,373,2810,3669,1543,40,3234,25,3094,23,2915,2914,2417,2651,225,2686,2766,40,2686,2653,1669,2067,2236,837,2236,2413,2358,295,445,227,1982,640,25,18,229,297,296,367,6249,295,824,974,1108,18,19,824,638,1394
,153,4513,4505,4352,2165,4390,4158,4208,4155,3905,3054,3960,3982,3451,245,3416,3931,,3965,,245,4068,6248,4097,2373,3571,4125,3878,3869,3841,3814,1548,2236,3738,373,59,2954,2768,1669,2236,2154,304,3395,3099,2065,40,40,304,6249,2858,25,3094,3044,3007,2956,2062,23,2564,1122,304,2234,230,2610,377,1543,2517,1543,226,6250,23,2235,1901,226,2063,2152,19,33,298,369,22,224,637,636,293,1109,19,367,367,828,1787
,4248,6287,3461,385,4433,4391,4028,4027,4210,4154,3913,3961,2255,3999,3957,2975,3967,4022,3770,153,6290,4069,1923,3719,4106,1923,6286,245,2774,452,250,309,3009,2154,3539,3701,373,40,3474,3499,3540,3566,236,38,36,304,304,2769,25,2564,2806,2858,2234,3008,2957,25,2858,2806,2065,1909,373,1543,236,448,1906,647,2067,23,230,1984,299,979,1983,2064,2153,20,230,31,370,295,368,225,825,18,1110,824,636,636,975,1788
,4520,4514,347,4479,4391,6286,3955,4281,4211,230,6290,1923,3770,2012,3917,3931,4030,2446,2975,2446,4050,4070,2012,4072,3624,1433,245,3879,250,309,6290,3791,448,2236,35,3399,3099,304,3475,3500,3541,2769,3588,1801,1543,3047,3047,3047,3304,3236,3162,6282,2154,2065,40,2858,6282,370,2767,2718,230,40,2359,40,2067,375,2474,1984,375,28,1121,1902,23,28,2154,21,6251,299,371,442,542,638,637,19,1111,367,825,442,1648,1789
,4531,2975,3989,4480,6286,245,3998,230,4212,4155,3914,3917,3983,3880,3962,3967,6306,4036,2831,347,4051,6290,1575,6248,4107,1575,4126,2774,3870,3842,3719,237,3766,3739,3716,3401,2236,1669,309,40,40,3474,237,40,3640,1669,3684,1669,3305,3237,3044,26,2956,2767,305,2806,2859,2512,2154,2719,1543,304,381,1669,2568,2298,1908,25,1908,979,6293,1903,640,371,6250,22,231,229,297,6249,23,639,368,636,1112,636,442,368,1649,1790
,2552,4515,4506,4394,4018,3957,309,4282,448,4156,3915,3962,2975,3416,1575,4020,4020,3988,,3490,6248,4071,3416,1923,,3416,2774,3870,6290,3843,319,6252,309,3740,3009,64,3391,309,236,304,304,3395,59,304,304,3670,309,452,3306,2954,2954,2806,1543,35,2687,2355,2564,2807,301,2610,40,2654,454,2608,40,40,2237,2414,378,2295,35,1904,1984,445,230,6249,232,36,31,225,543,23,638,825,634,825,637,638,1650,293
,4532,3424,189,3054,245,4392,237,38,4213,4157,3916,3416,110,4000,3416,3969,,4037,2446,189,3509,4072,4054,3918,2446,711,4127,6290,3796,243,3815,3792,237,448,40,245,40,237,237,3501,2769,3475,2074,3611,3641,236,236,59,3307,3008,2357,370,2768,2154,1129,2914,297,2808,232,53,304,2608,59,2609,984,2518,40,546,40,1903,837,297,1985,229,303,23,40,300,372,368,544,640,226,637,17,295,223,23,1117,1791
,4533,4516,4461,4481,3957,4393,3543,4158,3907,4158,1165,3963,3928,1029,3921,4021,153,3490,347,6288,1923,6248,110,2012,3775,4054,6290,86,3871,3844,3546,3401,3446,2769,2769,246,304,3169,238,3392,3542,309,6252,2811,3047,3314,3314,2074,1903,2234,2917,3043,40,3009,848,2915,2860,2809,2768,2657,2687,2655,456,2610,304,2519,304,978,1129,2296,2236,445,1986,2065,2155,24,233,301,373,25,296,641,23,368,18,442,638,640,1651,17
,4385,3966,1774,3616,4434,4394,4286,3906,3908,4159,3917,578,3929,3770,4011,3522,2446,181,3490,3756,3918,1923,2638,1575,3490,6287,4128,6302,1923,3845,3508,3793,3398,3741,309,317,1909,59,59,2769,309,236,3589,3612,2811,237,237,3368,3308,2917,3163,3044,3045,304,2958,2916,2065,2810,304,309,2688,1276,6313,236,2569,1802,2419,1903,2300,373,1543,1905,369,2066,2156,25,234,302,33,296,545,296,826,640,294,23,23,641,1652,18
,3977,4517,4507,4397,4435,4395,4352,4283,4028,4028,3918,3964,3931,2975,6287,,3939,4038,3989,4046,2012,3918,409,3416,3212,3770,3719,1923,3872,245,6308,3794,3402,3742,2422,6302,3392,2165,1414,3502,237,237,3504,3395,3395,1809,238,243,3309,2415,2065,3007,304,3010,2868,2917,2767,2065,2718,236,2689,2656,245,2422,1669,2419,2300,2357,306,2297,1908,229,28,837,1908,26,41,303,34,28,546,545,827,296,19,640,641,642,1653,294
,4534,4518,,4353,4436,3054,6286,3955,4214,3955,3919,3965,3984,3930,3770,4022,347,,3212,3952,3880,4073,4090,4098,181,2697,4129,3880,3873,3717,6248,3568,243,3743,238,6308,1669,60,60,3395,381,3543,3567,236,3642,2074,59,3107,373,3238,2653,2954,3046,848,236,2918,2861,2767,2769,2359,2690,2657,2633,2359,306,6279,847,299,48,1122,2237,6293,1987,231,39,27,42,38,374,443,547,642,641,545,636,296,642,1531,1535,367
,2759,2380,,3450,3054,4396,245,4284,3955,4160,3920,3770,2380,4001,3983,4023,3942,,181,3979,4052,2012,4091,4099,4064,6312,4130,324,,2774,3816,246,6286,309,59,3702,3393,3446,64,3475,3543,59,3590,3588,2690,2476,2165,1003,3310,3239,1543,2234,3010,2657,2658,2860,2862,2154,2608,59,2165,309,564,454,2570,306,2071,2415,1139,6293,378,446,227,446,377,28,45,40,375,444,28,546,296,828,22,828,975,1532,1654,636
,,153,,4482,4019,4397,3957,4285,47,3910,1575,2975,,3931,3929,2446,3490,,4042,,3416,3880,,6287,189,6306,3918,3881,,250,1923,3717,245,238,3397,6248,3394,3447,3051,237,59,60,64,237,236,3671,1414,6286,1543,2863,2768,3095,3047,236,2359,2065,2417,230,2770,2165,60,236,6290,239,2571,847,994,2416,2359,2065,40,1543,1902,2067,842,29,235,304,376,297,443,547,828,642,825,1266,1397,1533,1655,825
,,4505,,251,4437,4353,3054,4160,4215,237,3416,3929,3985,3653,3930,3988,3212,,6288,,711,4074,4092,4100,6288,4117,4131,1575,1433,3846,3817,3795,246,3744,3398,3411,3395,64,3107,3503,3544,3399,3591,381,237,6286,2074,3369,2863,2768,40,2917,2608,59,59,2767,230,301,47,2720,6303,2658,2580,60,2572,2520,48,34,381,35,1910,1906,1988,2068,40,30,48,305,377,31,227,28,642,975,637,975,1116,976,1656,637
,,4519,,4033,1824,6290,4019,3998,4160,4161,3921,3930,3986,3069,1324,3212,181,,4043,,4053,3416,3525,2975,3756,,3746,3416,324,3847,3703,3769,3767,3398,3401,3510,309,3448,6286,59,3504,3504,6286,59,381,3643,60,315,40,40,304,3096,3048,239,1414,2861,2863,40,2609,456,456,2359,84,2075,309,2071,2475,2417,55,837,2238,1907,445,2069,2157,31,50,234,378,445,548,643,829,976,828,976,1117,1116,26,638
,,3461,,1165,4396,3450,1824,237,3998,3543,3922,3966,3939,2380,3931,181,189,,4044,,4054,3921,153,113,6246,270,1433,711,3881,319,3188,250,3768,3401,3402,1923,236,3107,3109,1414,3401,3567,3568,1414,59,315,3399,3370,3045,304,2687,3097,3049,383,60,836,2864,449,1276,6313,2691,238,1425,456,2359,994,237,837,238,301,47,1908,299,39,2158,32,236,41,40,33,549,548,830,977,1113,1116,1398,1534,978,23
,,4248,,4029,4397,251,4353,4216,237,4162,2255,3967,3987,,2328,189,1774,,1774,,6287,4075,4093,3931,,2446,3480,2486,1575,3848,3453,3796,317,64,64,3452,237,3109,2876,3504,3109,64,245,2074,1414,1824,2691,1824,304,3240,3164,2065,3050,665,2959,230,2865,304,53,6286,2659,1809,6271,64,456,2521,59,2236,2302,1543,48,40,1537,842,2159,33,237,42,379,34,297,644,443,26,975,1117,1399,1117,299,640
,,3989,,4401,4353,4097,3450,2360,4216,2165,3923,3968,3988,3985,2697,,3531,,3531,,3925,6287,270,,,4118,1575,3453,3416,2319,719,319,3769,6286,6286,3511,238,2876,245,3107,245,3107,3570,3613,2074,317,3107,317,2687,3047,3165,3098,53,2870,2075,1543,40,305,236,2721,64,59,87,2611,2573,242,383,1543,2360,232,1548,1909,229,40,2160,34,238,306,304,36,31,645,831,978,1114,1267,297,1398,229,641
,,4520,,1923,3450,4398,251,4286,3543,4163,3924,3969,3942,4002,4012,4024,4031,,,,6307,6307,2446,2446,,3775,4132,3882,3453,3849,1182,3546,250,246,245,324,59,245,3476,6286,317,6286,317,3504,2691,3113,1003,250,3164,3241,3047,2417,2657,456,2871,375,984,2769,237,2722,243,2165,6308,6286,2574,2522,2074,1906,59,2298,55,1910,36,42,41,35,57,45,234,6250,550,373,548,830,1115,1119,1400,1535,980,1792
,,2552,,3917,4033,3959,4294,4287,4162,3912,6287,2380,2901,3939,6306,4025,,,,,4055,4076,3212,3775,,3489,711,719,723,3746,2666,6271,3451,3717,3717,1575,3396,3449,317,3109,3113,3568,3113,2691,3401,250,3109,464,3047,847,3166,3099,309,2923,456,2863,304,847,2359,2723,2692,60,6248,246,1153,1997,456,2418,2239,2299,56,42,6250,2070,42,36,59,49,41,230,551,229,832,28,1116,1268,31,978,1538,1793
,,4506,,4355,3959,1165,4354,4288,2813,6286,3770,3970,3989,4003,3888,3979,,,,,4056,3818,181,3462,,3212,719,723,2373,1433,3818,2727,319,3718,3718,2582,3397,317,3405,3505,250,245,464,6268,2476,464,245,2966,3311,2919,3167,1543,236,1811,2574,40,2718,2688,1809,250,2307,6303,2613,1824,2575,6286,2476,2067,60,1129,59,1911,230,45,45,6250,239,307,42,231,299,33,31,979,1117,830,33,547,1539,1794
,,4521,,4483,4438,6302,3959,4289,3109,6289,3925,2984,3212,3490,3969,,,,,,3818,4077,4064,3490,,4064,723,3883,,3850,407,6308,6308,3745,317,,3398,6290,3477,317,464,3569,3592,3614,2692,2312,2578,319,848,3242,452,40,2658,3011,2923,304,2866,2811,2771,79,2693,456,2634,2367,2576,2523,243,2237,61,2300,2239,1912,1989,1992,1992,6251,60,308,45,446,552,646,833,644,1118,443,1124,28,1657,1117
,,4461,,4223,4029,4399,1165,4290,6289,245,3926,3971,181,4004,2380,,,,,,264,4078,6288,4004,,189,3513,3770,,324,3804,2319,3702,250,250,3703,3399,3450,6308,3506,3545,1154,1165,2876,3614,3451,3643,468,3167,3243,3168,3045,237,2611,1811,2769,847,2812,2165,564,1425,2659,6253,564,2577,2524,312,40,242,306,1414,1548,231,2071,380,37,6252,52,380,447,34,647,373,297,1119,31,1401,643,1541,1651
,,3531,,2430,4439,4029,4029,6286,245,4032,2975,3212,3990,3212,,,,,,,4020,4079,3756,181,,3034,6287,3884,409,1575,133,2320,2319,3644,6290,711,3400,3451,6248,6290,6285,3570,2727,245,6286,691,3685,6308,3312,3244,2690,449,239,2307,2960,848,2867,2770,665,2724,2612,2611,6265,6290,2578,2525,67,304,65,847,60,1913,303,2072,2161,38,240,309,381,376,35,38,834,833,830,299,1127,297,1658,1118
,,4507,,3416,4355,4400,1923,245,3957,1824,3927,181,3991,181,4013,,,,,,4057,2380,3952,2552,,4119,3770,2975,2834,3851,3689,6248,6248,319,3719,2094,3401,1165,3411,3507,319,317,6302,3570,3109,2482,315,6248,452,2657,309,304,1414,6286,2476,2919,2608,309,2772,2725,2316,67,2614,84,246,2308,6268,2419,243,994,456,1914,38,2073,48,39,241,310,382,378,6250,447,835,980,443,229,1402,31,1659,1398
,,,,3921,3920,4401,4355,3957,4217,317,3928,189,3992,189,2446,,,,,,4058,4080,6246,4101,,6288,3885,3336,,3416,134,320,1923,6308,319,3188,3402,6308,320,3508,3546,250,3593,3615,245,6253,317,320,3313,309,2658,1909,2871,245,2611,2920,47,236,67,389,2694,6268,2581,1425,2478,2526,1997,2420,2361,48,2240,55,1990,48,2162,40,242,55,55,448,378,648,33,981,548,1122,1403,1536,1404,1653
,,,,4484,4440,1923,4131,4291,3913,3450,3929,3972,3973,4005,4014,,,,,,3624,3522,2757,3693,,3756,113,3885,134,3651,496,3510,3452,2320,2727,3063,2574,6248,2482,6271,6308,464,6308,1824,3643,3619,3113,3371,309,2658,381,3100,456,3012,243,2921,53,237,6286,1425,2695,6286,101,2612,683,2527,2477,2300,862,2301,2241,1915,376,49,2163,41,62,311,238,40,304,649,836,982,1120,1123,981,1537,1405,1119
,,,,3924,2012,3917,2012,4292,6290,251,3930,3973,3993,3946,347,,,,,,4059,4081,,4102,,4120,3886,3886,496,3188,3819,3797,3511,6248,6302,3453,2305,3411,3478,2727,6248,6308,2319,317,317,2581,3686,3372,3314,2165,3169,305,2923,2816,2961,1548,2657,2359,2773,1299,2530,246,2635,468,2579,2000,2478,306,6286,1139,2242,1916,40,1139,851,42,63,59,57,449,234,650,230,839,31,1124,1404,1123,1660,1535
,,,,4405,4441,4131,4223,3913,3450,3914,3931,3974,1774,3949,4004,,,,,,3522,,,4005,,6246,2697,3887,2380,3453,3820,95,324,3411,6308,3419,385,1923,3060,6308,2482,320,6248,3405,3113,1575,250,3121,237,3245,239,3047,1811,2773,6286,2922,2868,2165,315,2612,87,2479,2615,2530,564,2528,2479,848,6289,307,2243,383,1802,1670,1670,43,64,60,383,379,41,651,837,983,833,1269,1405,980,1661,1655
,,,,6287,3416,3920,4356,4293,4218,4164,2697,3952,3994,204,3212,,,,,,,4082,,3756,,4121,4133,3653,1047,719,3821,3452,1575,3746,2319,719,3107,2482,3479,3509,3547,3571,3594,3113,3616,2582,1687,3060,3315,3246,2165,3101,243,2367,2876,309,2869,1414,2774,468,6308,1824,6254,6308,2580,84,250,2071,2362,309,2244,60,42,853,51,44,243,240,60,450,553,652,446,650,373,980,1406,1538,839,1656
,,,,110,4442,2012,3416,6290,4219,3959,3932,1774,3995,3952,181,,,,,,3524,270,,1634,,3783,2834,3888,3429,2827,1047,3511,3188,3452,6248,2827,6286,3452,3480,3510,470,2482,2482,3616,2818,2663,464,1575,59,2691,1414,2919,3051,250,245,236,309,2074,2775,2316,92,250,2431,6280,82,2529,2000,994,2363,55,6286,456,1991,237,53,45,67,63,240,234,42,40,838,378,1121,1270,839,1539,840,26
,,,,4359,4402,3416,4172,3450,3959,4072,264,3975,,1774,2552,,,,,,4060,2446,,4103,,,3200,3069,2839,2372,3822,324,3419,,3411,723,3109,1575,324,2482,1575,470,94,1687,250,2096,2312,2582,2165,2659,3170,2608,3052,2693,2816,2658,236,2813,2693,2694,2613,564,2636,6248,1299,6271,6290,2421,2364,56,2245,241,45,55,1913,46,69,66,384,41,45,449,839,651,1122,1127,304,1540,378,28
,,,,4485,3921,4301,3921,251,3916,3960,6312,6284,,3979,189,,,,,,2446,347,,1774,,,6306,134,,3852,2839,3703,330,3511,320,1182,245,2582,1575,470,2582,324,3595,464,1687,3672,3451,2822,2074,3247,3171,2689,2961,82,2962,2359,2658,6303,6290,2530,1433,2580,327,320,2316,468,2004,48,2365,2302,6289,1917,1992,238,55,47,6289,243,385,42,554,653,38,652,1123,1271,658,1541,651,1795
,,,,3424,4443,4402,330,4294,4072,87,3200,3976,,3995,193,,,,,,347,4061,,6246,,,4134,2380,3576,1030,2446,3188,723,2430,1923,2665,3403,2094,2582,3511,2486,1575,470,3115,464,719,319,2663,3171,2305,2521,850,6286,84,2963,59,237,456,2776,2726,2662,84,259,2613,87,2530,2480,2162,2366,2303,2246,64,1993,59,2164,48,244,312,66,45,48,654,648,843,36,981,41,1127,658,299
,,,,4444,4307,2486,3924,4295,3960,4029,3933,3977,,,3946,,,,,,4061,3490,,3979,,,3804,1047,3856,2666,3775,2827,1182,324,3720,3422,246,3188,3481,3479,3063,2582,323,6271,3644,2372,6308,3188,3316,3248,3103,452,245,319,2878,2239,2359,61,1425,2727,6253,319,2637,6265,2005,2531,84,853,317,60,75,1918,48,239,57,49,71,67,243,48,236,655,649,40,836,1272,1407,1542,1662,1796
,,,,2697,3924,3921,4357,4218,4029,4165,3934,3978,,,4015,,,,,,3677,3028,,,,,4135,3429,2446,3853,3462,330,3770,1575,3452,2975,3404,3063,3482,324,3453,,1575,1165,3645,3129,6248,2096,2691,3106,2923,3102,2963,468,1824,1414,2165,67,1299,6302,2614,1425,400,2614,94,2088,6271,2422,2367,2304,317,65,308,2074,59,50,245,313,67,451,310,656,650,984,1124,1273,987,1404,1131,33
,,,,4486,4405,4403,3964,3915,3917,3962,3935,3979,,,3951,,,,,,3490,181,,,,,134,3889,3775,3134,3490,1182,2373,3416,3511,2666,317,3453,3188,1575,719,3188,2582,2727,3451,1931,2482,719,3317,3107,64,2657,3053,3013,2964,60,1414,2307,2777,6308,324,2612,401,2533,2485,6308,2481,382,250,61,250,243,1548,60,2165,51,246,314,6268,307,55,657,840,653,980,647,1408,1543,1663,1797
,,,,4236,6287,4404,3965,3959,3962,3918,2380,,,,4016,,,,,,3028,4064,,,,,2380,2839,347,407,1066,3798,3771,,3721,3423,3405,719,3063,2582,2372,3063,3596,6308,3646,6287,94,3127,2476,3249,2611,309,315,3014,2965,2870,2870,2814,2612,6248,2581,468,6287,324,6265,6248,2317,2423,2000,2305,389,313,55,2075,60,52,74,6286,69,452,555,450,841,844,1125,839,1409,839,1664,1798
